GRANTEE,OWNER,TABLE_NAME,GRANTOR,PRIVILEGE,GRA,HIE,COM,TYPE,INH
AUDIT_VIEWER,SYS,CDB_FGA_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,CDB_XS_AUDIT_POLICY_OPTIONS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,CDB_XS_ENABLED_AUDIT_POLICIES,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,DBA_COMMON_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,DBA_FGA_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,DBA_XS_AUDIT_POLICY_OPTIONS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,DBA_XS_ENABLED_AUDIT_POLICIES,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,GV_$ASM_AUDIT_CLEANUP_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,GV_$ASM_AUDIT_CLEAN_EVENTS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,GV_$ASM_AUDIT_CONFIG_PARAMS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,GV_$ASM_AUDIT_LAST_ARCH_TS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,GV_$ASM_AUDIT_LOAD_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,GV_$UNIFIED_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,V_$ASM_AUDIT_CLEANUP_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,V_$ASM_AUDIT_CLEAN_EVENTS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,V_$ASM_AUDIT_CONFIG_PARAMS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,V_$ASM_AUDIT_LAST_ARCH_TS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,V_$ASM_AUDIT_LOAD_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,V_$UNIFIED_AUDIT_RECORD_FORMAT,SYS,READ,NO,NO,NO,VIEW,NO
